Conditions,                                              SYMPTOMS.       ,,,,,,,,,,,,,,,,,,,drug class,BRAND NAME,api strength unit - mg or ml or ,API - 1,API-1 Strength,API - 2 ,API-2 Strength,API - 3,API-3 Strength,FORM,                     BEFORE MEAL,,,                            AFTER MEAL,,,DOSAGE,                     DAYS,,NO. OF DAYS,QUANTITY OF MEDICINE,,REFER THE PATIENT TO A SPECIALIST,,             IS FOLLOW UP REQUIRED,,,     DATE OF FOLLOW UP,,    INSTRUCTIONS FOR APPLICATION,,,                                                                      CLINICAL ADVICE,,,,,,,,,,,,,,,,,
,sym 1,sym 2,sym 3,sym 4,Sym 5,Sym 6,Sym 7,Sym 8,Test 1,Test 2,Test 3,Test 4,,,,,,,,,,,,,,,,,,BREAKFAST,LUNCH,DINNER,BREAKFAST,LUNCH,DINNER,,EVERYDAY,SELECT DAYS,,,,,,,,,,,,,,note 1,note 2,note 3,note 4,,,,,,,,,,Doctor's Name,,Link for the image,,
Common Cold,sneezing,"Fever (although most people with colds do not have fever)
",Pain in the muscles,watery eyes,itchy/watery nose,throat itching,,,Full body checkup,Blood Test,,,,,,,,,,"Antihistamine, decongestant and analgesic",Cheston Cold,mg,Cetrizine dihydrochloride,200,Phenylephrine Hydrochloride,300,Paracetamol,250,Pill,0,0,0,1,1,1,3,,,7,21,,,,,No,,,,,,,At least a gap of 4-6 hours should be there between the two doses,exercise for 30 minutes daily,"rest
",,,,,,,,,,,,,https://www.1mg.com/drugs/cheston-cold-tablet-63785,,
Athlete's Foot,"scaly rash that usually causes itching, stinging and burning","Moist, raw skin between the toes","Inflamed skin that might appear reddish, purplish or grayish, depending on your skin color.",,,,,,Skin lesion Potassium Hydroxide exam,,,,,,,,,,,Antifungal,Lamisil,mg,Terbinafine Hydrochloride,10,,,,,cream,,,,,,,,Yes,,7-14,,,,,,Yes,,,,,,,"Use it regularly(1-2 weeks),Once all signs of your infection have gone, continue to use it for a further two or three days to prevent the infection from coming back.",Wash your feet everyday and dry them,Choose footwear that can help your feet stay dry,,,,,,,,,,,,,https://www.rxlist.com/lamisil-drug.htm,,
Chicken pox,Raised pink/red bumps (papules)which burst out several days,"Fever,","Skin: blister, scab, ulcers, or red spots","Loss of appetite,",Headache,Tiredness,,,blood tests or a culture of lesion samples.,,,,,,,,,,,Anti - Viral,Zovirax,mg,Acylocir,400,,,,,Pill,,,,1,1,1,3,,,7-8,,,,,,No,,,,,,,The dosage should be reduced in patients with impaired renal function.,,,,,,,,,,,,,,,https://www.rxlist.com/zovirax-drug.htm,,
Arthritis,"Pain areas: in the joints, ankle, back, fingers, hands,",Hand: bump on the finger or bony outgrowth in fingers,"Also common: flare, redness","physical deformity, stiff neck",,,,,X-ray,Arthroscopy,Ultrasound,,,,,,,,,anti-inflammatory,Orencia,mg,Abatacept,125,,,,,Injection,0,0,0,0,1,0,1,No,Monday,30-60,as prescribed by physician,,,No,,Yes,,,,,,,Self-care,Exercises can improve range of motion and strengthen the muscles surrounding joints,,,,,,,,,,,,,,https://www.rxlist.com/orencia-drug.htm,,
Influenza,"fever, chills",dehydration,"flushing, body ache, or sweating
",loss of appetite,muscle aches,"cough, congestion, runny nose",headache,fatigue,Viral culture tests,reverse transcription polymerase chain reaction (RT-PCR),,,,,,,,,,Anti influenza drugs, Relenza®,mg,zanamivir,4,lactose monohydrate,20 mg,,,Powder,0,0,0,1,0,1,2,Yes,,as prescribed by doctor,,4,,No,,No,,,,,,,Two doses should be taken on the first day of treatment whenever possible provided there is at least 2 hours between doses.,,,,,"On subsequent days, doses should be about 12 hours apart (e.g., morning and evening) at approximately the same time each day.",,,,,,,,,,https://www.rxlist.com/relenza-drug.htm,,
Vitiligo ,"Premature whitening or graying of the hair on scalp, eyelashes, eyebrows, beard",Patchy loss of skin color,Loss of color in the tissues that line the inside of your mouth and nose (mucous membranes),,,,,,Antinucleur antibody (ANA) test,Complete blood count (CBC),Skin biopsy,,,,,,,,,"Anti-inflammatory, Immunomodulating Calcineurin inhibitor",Protopic; Elidel,mg,Tacrolimus,1,Pimecrolimus,10,,,Ointment; cream,,,,,,,,,,6-12 weeks,,,,,,Yes,,,,,,,Apply topically to affected areas twice a day,Expose to natural sunlight for 15 to 30 minutes ,apply sunscreen with an SPF of at least 30,,,,,,,,,,,,,https://www.webmd.com/drugs/2/drug-22383/elidel-topical/details,,
COPD,"shortness of breath,wheezing,chest tightness,a chronic cough that produce sputum,frequent respiratory infections",,Blueness of the lips or fingernail beds (cyanosis),,,,,,"lung function test,chest xray,CT scan,Arterial blood gas analysis",,,,,,,,,,,bronchodialator,Asthalin respules,mg,Salbutamol,2.5,,,,,Inhaler,1,,,,,,4,Yes,,as prescribed by physician,,,,Yes,,Yes,,,,,,,"Avoid smoking completely,Do some breathing exercises,wear a mask for protection",,,,,,,,,,,,,Dr. Sakshi Sharma,,https://www.google.com/amp/s/www.1mg.com/drugs/asthalin-respules-341377/amp,,
Aspergillosis (Invasive),Runny nose,Shortness of breath,"Skin lesions
",Chest pain,Coughing up blood,joint pain,,,Chest x-ray,CT scan of lungs or any other infected part/organ,Tissue biopsy followed with analyzing under microscope or fungal culture,Blood test,,,,,,,,Azole Anti-fungal,VFEND,mg,Voriconazole,200,,,,,Pill,0,0,0,1,0,1,200mg BD,Yes,,As prescribed by the physician,As prescribed by the physician,,,Yes,,Yes,,,,,,,Twice a day 1 hour before or after the meal,Contraindicated in pregnancy.,Check patient medication history if they are allergic to azoles.,Do not discontinue the treatment regimen if you see any signs of improvement.,,,,,,,,,,,,https://www.rxlist.com/vfend-drug.htm,,
COVID-19,High fever ,"Tiredness, fatigue","cough, chest pain", irritation in eyes,bodyache,diarrhoea,sore throat,headache,Molecular RT PCR Test,Covid 19 antigen test,Covid 19 antibody test,,,,,,,,,Antiviral,Intron A rebetol combination ,mg,Ribavirin ,200mg,Ascorbic acid,50mg,Interferon alfa 2b,0.5 ml,Pill,1,0,0,1,0,1,2,Yes,,10 days,,,,Yes,,Yes,,,,,,,Steam inhalation,Plenty of fluids,Home isolation 2 weeks,Institutional quarantine or admit if severe symptoms,,,,,,,,,,Dr. Shreya Gupta ,,https://www.rxlist.com/intron-a-rebetol-drug.htm,,
Acne,pimples,redness,tenderness,blackhead,,,,,visual inspection by healthcare professionals,,,,,,,,,,,antiacne antibiotic,Deriva bpo gel,mg,Adapalene ,0.1%w/w,Benzoyl peroxide ,2.5%w/w,,,Other forms,1,,,,1,1,3-4,Yes,,30,Thrice a day ,,,No,,Yes,,,,,,,It may take 6-8 weeks for results to be visible. ,Avoid oil based makeup and hair products. ,,,,,,,,,,,,Dr. Madhav reddy,,https://drive.google.com/file/d/1KbGlmGPBp1L4TPaEGnM_0Jd0yliic5gq/view?usp=drivesdk,https://drive.google.com/file/d/1KbGlmGPBp1L4TPaEGnM_0Jd0yliic5gq/view?usp=drivesdk,
