name,common_name,sex_filter,category,seriousness
Abdominal injury,Recent abdominal injury,both,Risk factors,normal
Absent COVID-19 vaccination,Absent COVID-19 vaccination,both,Risk factors,normal
Acceleration-deceleration injury,Whiplash injury,both,Risk factors,serious
Animal bite,Animal bite,both,Risk factors,serious
Ankle injury,Ankle injury,both,Risk factors,normal
Anticoagulant use,Blood thinner use,both,Risk factors,normal
Arm injury,Arm injury,both,Risk factors,normal
Atherosclerosis,Atherosclerosis,both,Risk factors,normal
Atmospheric pressure changes,Activities related to sudden pressure or altitude changes,both,Risk factors,normal
Back injury,Back injury,both,Risk factors,normal
Bacterial tonsillitis,Bacterial tonsillitis,both,Risk factors,normal
Booster shot of COVID-19 vaccination,Booster shot of COVID-19 vaccination,both,Risk factors,normal
Breastfeeding,Breastfeeding,female,Risk factors,normal
"Cannabis, marijuana smoking","Cannabis, marijuana smoking",both,Risk factors,normal
Carbon monoxide exposure,Carbon monoxide exposure,both,Risk factors,serious
Chest injury,Chest injury,both,Risk factors,normal
Chronic NSAIDs use,Long-term use of non-steroidal anti-inflammatory drugs,both,Risk factors,normal
Chronic heavy alcohol use,Chronic heavy alcohol use,both,Risk factors,normal
Circumcision,Circumcision,male,Risk factors,normal
Compromised immune system,Weakened immune system,both,Risk factors,normal
Consumption of foods or drinks that cause bloating,Consumption of foods or drinks that cause bloating,both,Risk factors,normal
Consumption of fruits or vegetables contaminated with animal feces,Consumption of fruits or vegetables contaminated with animal feces,both,Risk factors,normal
Consumption of raw or undercooked meat,Consuming raw or undercooked meats,both,Risk factors,normal
Contact lenses,Contact lenses,both,Risk factors,normal
Contact with allergen,Contact with allergen,both,Risk factors,normal
Contact with animals,Contact with animals,both,Risk factors,normal
"Contact with animals, cat",Contact with cats,both,Risk factors,normal
Contact with herbicides,Contact with weed killers,both,Risk factors,serious
Contact with insecticides,Contact with chemicals meant to kill insects,both,Risk factors,normal
"Contact with sick person, chickenpox",Contact with chickenpox,both,Risk factors,normal
Dental trauma,Tooth injury,both,Risk factors,normal
Diagnosed Crohn's disease,Diagnosed Crohn's disease,both,Risk factors,normal
Diagnosed aortic aneurysm,Diagnosed aortic aneurysm,both,Risk factors,serious
Diagnosed asthma,Diagnosed asthma,both,Risk factors,normal
Diagnosed atrial fibrillation,Diagnosed atrial fibrillation,both,Risk factors,normal
Diagnosed chronic obstructive pulmonary disease,Diagnosed chronic obstructive pulmonary disease,both,Risk factors,normal
Diagnosed concussion,Diagnosed concussion,both,Risk factors,normal
Diagnosed coronary disease,Diagnosed coronary disease,both,Risk factors,normal
Diagnosed diabetes,Diagnosed diabetes,both,Risk factors,normal
"Diagnosed diabetes mellitus, type 1",Type 1 diabetes mellitus,both,Risk factors,normal
"Diagnosed diabetes mellitus, type 2",Type 2 diabetes mellitus,both,Risk factors,normal
"Diagnosed diabetes, other type",Diagnosed other type of diabetes,both,Risk factors,normal
"Diagnosed diabetes, unknown type",Unknown type of diagnosed diabetes,both,Risk factors,normal
Diagnosed hemophilia,Diagnosed hemophilia,male,Risk factors,normal
Diagnosed hypertension,Diagnosed hypertension,both,Risk factors,normal
Diagnosed osteoporosis or osteopenia,Diagnosed osteoporosis or osteopenia,both,Risk factors,normal
Diagnosed peripheral vascular disease,Diagnosed peripheral vascular disease,both,Risk factors,normal
Diagnosed psoriasis,Diagnosed psoriasis,both,Risk factors,normal
Diagnosed structural heart disease,Structural disorder of heart,both,Risk factors,normal
Diagnosed ulcerative colitis,Diagnosed ulcerative colitis,both,Risk factors,normal
Ear injury,Ear injury,both,Risk factors,normal
Elbow injury,Elbow injury,both,Risk factors,normal
Enlarged scar,Enlarged scar,both,Risk factors,normal
Excessive UV exposure,Excessive UV exposure,both,Risk factors,normal
Family history of Helicobacter pylori infection,Helicobacter pylori infection in family,both,Risk factors,normal
Family history of bleeding disorders,Family history of bleeding disorders,both,Risk factors,normal
Finger injury,Finger injury,both,Risk factors,normal
Foot injury,Foot injury,both,Risk factors,normal
Forearm injury,Forearm injury,both,Risk factors,normal
Full COVID-19 vaccination,Full COVID-19 vaccination,both,Risk factors,normal
"Full COVID-19 vaccination, more than 6 months ago",Full COVID-19 vaccination more than 6 months ago,both,Risk factors,normal
Genital injury,Genital injury,both,Risk factors,serious
Hand injury,Hand injury,both,Risk factors,normal
Head area injury,Head area injury,both,Risk factors,normal
Heavy metal exposure,Heavy metal exposure,both,Risk factors,serious
High BMI,Obesity,both,Risk factors,normal
High cholesterol,High cholesterol,both,Risk factors,normal
High risk for an ectopic pregnancy,High risk for an ectopic pregnancy,female,Risk factors,normal
Hip injury,Hip injury,both,Risk factors,normal
History of COVID infection,History of COVID infection,both,Risk factors,normal
History of anaphylactic reactions,History of severe allergic reactions,both,Risk factors,normal
History of chickenpox or VZV vaccination,History of chickenpox or VZV vaccination,both,Risk factors,normal
History of colectomy,Removal of colon,both,Risk factors,normal
History of coronarography,Coronarography,both,Risk factors,normal
History of cystectomy,Removal of bladder,both,Risk factors,normal
History of deep vein thrombosis,History of deep vein thrombosis,both,Risk factors,normal
History of depressive episode,History of depressive episode,both,Risk factors,normal
History of gastrectomy,Removal of stomach,both,Risk factors,normal
History of head trauma,Severe head injury in the past,both,Risk factors,normal
History of heart bypass surgery,Heart bypass surgery,both,Risk factors,normal
History of hernia surgery,Hernia repair,both,Risk factors,normal
History of hip joint replacement,Hip joint replacement,both,Risk factors,normal
History of hypertensive crisis,Hypertensive crisis,both,Risk factors,normal
History of hysterectomy,Uterus removal in the past,female,Risk factors,normal
History of knee joint replacement,Knee joint replacement,both,Risk factors,normal
History of laryngectomy,Removal of larynx,both,Risk factors,normal
History of major skin injury,Serious skin wound,both,Risk factors,serious
History of mastectomy,Removal of breast,female,Risk factors,normal
History of minor skin injury,Small skin wound,both,Risk factors,normal
History of neoplasm,History of cancer,both,Risk factors,normal
History of nephrectomy,Removal of kidney,both,Risk factors,normal
History of nephrolithiasis,History of kidney stones,both,Risk factors,normal
History of orchiectomy,Removal of testicle,male,Risk factors,normal
History of polypectomy,Removal of polyps,both,Risk factors,normal
History of prostatectomy,Removal of prostate,male,Risk factors,normal
History of pulmonary tuberculosis,History of pulmonary tuberculosis,both,Risk factors,normal
History of pulmonectomy,Removal of lung,both,Risk factors,normal
History of sepsis,History of sepsis,both,Risk factors,normal
History of stroke,History of stroke,both,Risk factors,normal
