id,name,common_name,sex_filter,category,seriousness
s_1558,Abdominal guarding,Abdominal guarding,both,Signs and symptoms,emergency
s_299,Abdominal mass,Lump in stomach,both,Signs and symptoms,normal
s_13,Abdominal pain,Stomach pain,both,Signs and symptoms,normal
s_1598,"Abdominal pain, below belly button",Lower stomach pain,both,Signs and symptoms,normal
s_1802,"Abdominal pain, burning or gnawing",Burning or gnawing stomach pain,both,Signs and symptoms,normal
s_1848,"Abdominal pain, colicky",Colic stomach pain,both,Signs and symptoms,normal
s_1860,"Abdominal pain, crampy",Crampy stomach pain,both,Signs and symptoms,normal
s_1557,"Abdominal pain, diffuse",Widespread stomach pain,both,Signs and symptoms,normal
s_1387,"Abdominal pain, epigastric",Upper central stomach pain,both,Signs and symptoms,normal
s_1207,"Abdominal pain, exacerbating after caffeine consumption",Stomach pain worsening after caffeine consumption,both,Signs and symptoms,normal
s_15,"Abdominal pain, exacerbating during coughing or movement",Stomach pain worsens when coughing or moving,both,Signs and symptoms,normal
s_1202,"Abdominal pain, exacerbating during deep breath",Stomach pain worsens with deep breath,both,Signs and symptoms,normal
s_14,"Abdominal pain, exacerbating on an empty stomach",Stomach pain on empty stomach,both,Signs and symptoms,normal
s_1844,"Abdominal pain, gradual onset",Slow and gradual stomach pain,both,Signs and symptoms,normal
s_1852,"Abdominal pain, lasting 2 to 7 days",Stomach pain lasting 2 to 7 days,both,Signs and symptoms,normal
s_1853,"Abdominal pain, lasting 8 to 14 days",Stomach pain lasting 8 to 14 days,both,Signs and symptoms,normal
s_1840,"Abdominal pain, lasting less than 2 days",Stomach pain lasting less than 2 days,both,Signs and symptoms,normal
s_1842,"Abdominal pain, lasting more than 2 weeks",Stomach pain lasting more than 2 weeks,both,Signs and symptoms,normal
s_1729,"Abdominal pain, left lower quadrant",Lower left side stomach pain,both,Signs and symptoms,normal
s_1854,"Abdominal pain, left side",Left side stomach pain,both,Signs and symptoms,normal
s_1591,"Abdominal pain, left upper quadrant",Upper left side stomach pain,both,Signs and symptoms,normal
s_2275,"Abdominal pain, localised",Localised stomach pain,both,Signs and symptoms,normal
s_1859,"Abdominal pain, midcycle",Painful ovulation,female,Signs and symptoms,normal
s_1851,"Abdominal pain, migrating to the right lower quadrant","Stomach pain, moved to the lower right side",both,Signs and symptoms,emergency
s_1782,"Abdominal pain, mild",Mild stomach pain,both,Signs and symptoms,normal
s_1783,"Abdominal pain, moderate",Moderate stomach pain,both,Signs and symptoms,normal
s_2311,"Abdominal pain, no exacerbation factor",Stomach pain not worsening,both,Signs and symptoms,normal
s_1532,"Abdominal pain, periumbilical",Central stomach pain,both,Signs and symptoms,normal
s_16,"Abdominal pain, postprandial",Stomach pain after eating,both,Signs and symptoms,normal
s_17,"Abdominal pain, premenstrual",Cramps before period,female,Signs and symptoms,normal
s_1845,"Abdominal pain, radiating to left shoulder or shoulder blade",Stomach pain spreading to the left shoulder area,both,Signs and symptoms,emergency
s_1846,"Abdominal pain, radiating to lower or middle part of the back",Stomach pain spreading to the lower or middle back,both,Signs and symptoms,serious
s_471,"Abdominal pain, radiating to right shoulder or shoulder blade",Stomach pain spreading to the right shoulder area,both,Signs and symptoms,emergency
s_1847,"Abdominal pain, recurrent",Recurrent stomach pain,both,Signs and symptoms,normal
s_57,"Abdominal pain, reduced by defecation or relieving flatulence",Stomach pain improves after bowel movement or passing gas,both,Signs and symptoms,normal
s_1531,"Abdominal pain, right lower quadrant",Lower right side stomach pain,both,Signs and symptoms,normal
s_1855,"Abdominal pain, right side",Right side stomach pain,both,Signs and symptoms,normal
s_1528,"Abdominal pain, right upper quadrant",Upper right side stomach pain,both,Signs and symptoms,normal
s_1195,"Abdominal pain, severe",Severe stomach pain,both,Signs and symptoms,normal
s_1369,"Abdominal pain, sharp and stabbing",Sharp and stabbing stomach pain,both,Signs and symptoms,normal
s_1843,"Abdominal pain, sudden onset",Sudden stomach pain,both,Signs and symptoms,normal
s_1929,"Abdominal pain, unbearable",Unbearable stomach pain,both,Signs and symptoms,emergency
s_2288,"Abdominal pain, unknown character",Stomach pain of unspecific character,both,Signs and symptoms,normal
s_2558,"Abdominal pain, unknown onset",Unknown onset of stomach pain,both,Signs and symptoms,normal
s_2281,"Abdominal pain, unspecified location","Abdominal pain, unspecified location",both,Signs and symptoms,normal
s_1514,Abdominal tenderness,Pain when pressing the stomach,both,Signs and symptoms,normal
s_2463,"Abdominal tenderness, epigastric region",Pain when pressing upper middle part of the stomach,both,Signs and symptoms,normal
s_1400,"Abdominal tenderness, hypogastric region",Pain when pressing lower part of the stomach,both,Signs and symptoms,normal
s_2252,"Abdominal tenderness, left lower quadrant",Pain when pressing lower left part of the stomach,both,Signs and symptoms,normal
s_1589,"Abdominal tenderness, left upper quadrant",Pain when pressing upper left part of the stomach,both,Signs and symptoms,normal
s_1856,"Abdominal tenderness, right lower quadrant",Pain when pressing lower right part of the stomach,both,Signs and symptoms,normal
s_1392,"Abdominal tenderness, right upper quadrant",Pain when pressing upper right part of the stomach,both,Signs and symptoms,normal
s_328,Abnormal vaginal discharge,Abnormal vaginal discharge,female,Signs and symptoms,normal
s_2369,Abnormal wound drainage,Abnormal wound drainage,both,Signs and symptoms,normal
s_598,Abscess,"Reddened, swollen and painful skin change",both,Signs and symptoms,normal
s_1072,Absence of deep reflexes,Absence of deep reflexes,both,Signs and symptoms,normal
s_1502,Achilles tendon hyperreflexia,Achilles tendon hyperreflexia,both,Signs and symptoms,normal
s_2121,Acid reflux,Acidic taste in mouth,both,Signs and symptoms,normal
s_3,Activity related to sex despite negative consequences,Activity related to sex despite negative consequences,both,Signs and symptoms,normal
s_1111,Adenoid face,Adenoid face,both,Signs and symptoms,normal
s_145,Agitation,Agitation,both,Signs and symptoms,normal
s_833,Agnosia,"Inability to recognize objects, people, sounds, shapes, or smells",both,Signs and symptoms,serious
s_884,Agoraphobia,"Fear of places and situations that might cause panic, helplessness or embarrassment",both,Signs and symptoms,normal
s_1012,Agraphia,Loss of writing ability,both,Signs and symptoms,normal
s_817,Alcohol craving,Constant urge to drink alcohol,both,Signs and symptoms,normal
s_588,Alcohol tolerance,Need of higher alcohol quantities to get drunk,both,Signs and symptoms,normal
s_818,Alcohol withdrawal syndrome,Symptoms following  a reduction in alcohol use,both,Signs and symptoms,normal
s_1272,Allen-Cleckley sign,Allen-Cleckley sign,both,Signs and symptoms,normal
s_837,Alogia,Poverty of speech,both,Signs and symptoms,normal
s_1458,"Amenorrhea, primary",Absence of first menstrual period at age 16,female,Signs and symptoms,normal
s_1457,"Amenorrhea, secondary",Absence of menstrual period for more than 3 months,female,Signs and symptoms,normal
s_1370,"Amenorrhea, secondary, 12 months or more",Absence of menstrual period for 1 year or more,female,Signs and symptoms,normal
s_1032,Amusia,Inability to produce or recognize musical sounds,both,Signs and symptoms,normal
s_608,Angular cheilitis,Cracked corners of lips,both,Signs and symptoms,normal
s_508,Anhedonia,Inability to enjoy life,both,Signs and symptoms,normal
s_1123,Anhidrosis,Lack of sweating,both,Signs and symptoms,normal
s_669,"Anhidrosis, face, unilateral",Lack of sweating on one side of the face,both,Signs and symptoms,normal
s_2170,Anicteric presentation,Anicteric presentation,both,Signs and symptoms,normal
s_497,Anisocoria,Asymmetric pupils,both,Signs and symptoms,emergency
s_1647,Annular skin lesions,Ring-shaped skin changes,both,Signs and symptoms,normal
s_436,Anorectal pain,Anorectal pain,both,Signs and symptoms,normal
s_120,Anxiety,Anxiety,both,Signs and symptoms,normal
s_582,Anxiety attack,Anxiety attack,both,Signs and symptoms,normal
s_4,Apathy,"Lack of interest, enthusiasm, or concern",both,Signs and symptoms,normal
s_477,Aphonia,Loss of voice,both,Signs and symptoms,serious
s_6,Appetite for salty foods,Appetite for salty foods,both,Signs and symptoms,normal
s_1010,Apraxia,Apraxia,both,Signs and symptoms,emergency
s_1116,Ascites,Ascites,both,Signs and symptoms,serious
s_651,Ataxia,Problems with coordinating movement,both,Signs and symptoms,normal
s_2278,"Ataxia, acute",Recent coordination problems,both,Signs and symptoms,emergency_ambulance
s_2280,"Ataxia, chronic",Coordination problems for more than 1 year,both,Signs and symptoms,normal
s_2279,"Ataxia, subacute","Coordination problems since several days, weeks, or months ago",both,Signs and symptoms,serious
s_474,Audible wheezing,Whistling sound made while breathing,both,Signs and symptoms,serious
s_1028,Auditory verbal agnosia,Auditory verbal agnosia,both,Signs and symptoms,emergency
s_857,Auscultative fine crackles over the thorax,Auscultative fine crackles over the thorax,both,Signs and symptoms,normal
s_1316,Auscultative rhonchi over the thorax,Auscultative rhonchi over the thorax,both,Signs and symptoms,normal
s_856,Auscultative wheezes over the thorax,Auscultative wheezes over the thorax,both,Signs and symptoms,normal
s_710,"Avoiding actions, places, or people that bring back memories of a traumatic experience","Avoiding actions, places, or people that bring back memories of a traumatic experience",both,Signs and symptoms,normal
s_719,Avoiding eating in someone else's presence,Avoiding eating in someone else's presence,both,Signs and symptoms,normal
s_718,Avoiding eating or drinking in public,Avoiding eating or drinking in public,both,Signs and symptoms,normal
s_717,Avoiding public appearances,Avoiding public appearances,both,Signs and symptoms,normal
s_720,Avoiding talking to authority figures,Avoiding talking to authority figures,both,Signs and symptoms,normal
s_709,"Avoiding thoughts, feelings, or conversations related to a traumatic experience","Avoiding thoughts, feelings, or conversations related to a traumatic experience",both,Signs and symptoms,normal
s_1322,Axillary or inguinal freckles,Freckles in the groins or armpits,both,Signs and symptoms,normal
s_1023,Babinski sign,Babinski sign,both,Signs and symptoms,normal
s_1190,Back pain,Back pain,both,Signs and symptoms,normal
s_159,"Back pain, exacerbated by physical exertion",Back pain worsening after physical activity,both,Signs and symptoms,normal
s_1206,"Back pain, improves with rest",Back pain decreases during rest,both,Signs and symptoms,normal
s_1205,"Back pain, lasting several hours",Back pain lasting several hours,both,Signs and symptoms,normal
s_53,"Back pain, lumbar",Lower back pain,both,Signs and symptoms,normal
s_38,"Back pain, lumbar, radiates to back of the thigh",Lower back pain spreading to the back of the thigh or knee,both,Signs and symptoms,normal
s_663,"Back pain, lumbar, radiating to the groin",Lower back pain spreading to the groin,both,Signs and symptoms,normal
s_2314,"Back pain, lumbar, unknown radiating direction",Lower back pain unknown spreading direction,both,Signs and symptoms,normal
s_2284,"Back pain, nocturnal",Nighttime back pain,both,Signs and symptoms,normal
s_1189,"Back pain, recurrent",Back pain that comes and goes,both,Signs and symptoms,normal
s_1192,"Back pain, severe",Severe back pain,both,Signs and symptoms,serious
s_1198,"Back pain, sudden",Sudden back pain,both,Signs and symptoms,normal
s_1772,"Back pain, thoracic",Middle or upper back pain,both,Signs and symptoms,normal
s_2085,"Back pain, worsens on palpation",Back pain worsens by touching or pressing the affected area,both,Signs and symptoms,normal
s_561,Belching,Burping,both,Signs and symptoms,normal
s_1073,Bilateral absence of Achilles tendon reflex,Bilateral absence of Achilles tendon reflex,both,Signs and symptoms,normal
s_698,Bilateral enophthalmos,Both eyes sunken,both,Signs and symptoms,normal
s_1291,Bilateral muscle paralysis,Bilateral muscle paralysis,both,Signs and symptoms,emergency
s_1257,Bing's sign,Bing's sign,both,Signs and symptoms,normal
s_137,Binge eating,Binge eating,both,Signs and symptoms,normal
s_568,"Binge eating, followed by self-disgust",Self-disgust after binge eating,both,Signs and symptoms,normal
s_769,Bizarre delusion,Bizarre delusion,both,Signs and symptoms,normal
s_71,Black coloured stool,Black stool,both,Signs and symptoms,normal
s_1119,Bladder sphincter dysfunction,Bladder sphincter dysfunction,both,Signs and symptoms,normal
s_152,Bleeding after intercourse,Bleeding after intercourse,female,Signs and symptoms,normal
s_115,Bleeding from anus,Bleeding from anus,both,Signs and symptoms,normal
s_2277,"Bleeding from anus, heavy",Heavy bleeding from anus,both,Signs and symptoms,emergency
s_2276,"Bleeding from anus, light",Light bleeding from anus,both,Signs and symptoms,normal
s_111,Bleeding gums,Bleeding gums,both,Signs and symptoms,normal
s_1386,Bleeding into muscles,Bleeding into muscles,both,Signs and symptoms,normal
s_192,Blepharoptosis,Drooping eyelids,both,Signs and symptoms,normal
s_2508,"Blepharoptosis, acute",Recent dropping eyelids,both,Signs and symptoms,serious
s_2511,"Blepharoptosis, chronic",Dropping eyelids for more than 7 days,both,Signs and symptoms,normal
s_1807,Blisters,Blisters on the skin or in the mouth,both,Signs and symptoms,normal
