,id,name,common_name,sex_filter,category,seriousness
0,p_144,Abdominal injury,Recent abdominal injury,both,Risk factors,normal
1,p_330,Absent COVID-19 vaccination,Absent COVID-19 vaccination,both,Risk factors,normal
2,p_145,Acceleration-deceleration injury,Whiplash injury,both,Risk factors,serious
3,p_155,Animal bite,Animal bite,both,Risk factors,serious
4,p_243,Ankle injury,Ankle injury,both,Risk factors,normal
5,p_174,Anticoagulant use,Blood thinner use,both,Risk factors,normal
6,p_254,Arm injury,Arm injury,both,Risk factors,normal
7,p_173,Atherosclerosis,Atherosclerosis,both,Risk factors,normal
8,p_81,Atmospheric pressure changes,Activities related to sudden pressure or altitude changes,both,Risk factors,normal
9,p_146,Back injury,Back injury,both,Risk factors,normal
10,p_79,Bacterial tonsillitis,Bacterial tonsillitis,both,Risk factors,normal
11,p_359,Booster shot of COVID-19 vaccination,Booster shot of COVID-19 vaccination,both,Risk factors,normal
12,p_281,Breastfeeding,Breastfeeding,female,Risk factors,normal
13,p_69,"Cannabis, marijuana smoking","Cannabis, marijuana smoking",both,Risk factors,normal
14,p_40,Carbon monoxide exposure,Carbon monoxide exposure,both,Risk factors,serious
15,p_136,Chest injury,Chest injury,both,Risk factors,normal
16,p_220,Chronic NSAIDs use,Long-term use of non-steroidal anti-inflammatory drugs,both,Risk factors,normal
17,p_38,Chronic heavy alcohol use,Chronic heavy alcohol use,both,Risk factors,normal
18,p_283,Circumcision,Circumcision,male,Risk factors,normal
19,p_83,Compromised immune system,Weakened immune system,both,Risk factors,normal
20,p_380,Consumption of foods or drinks that cause bloating,Consumption of foods or drinks that cause bloating,both,Risk factors,normal
21,p_303,Consumption of fruits or vegetables contaminated with animal feces,Consumption of fruits or vegetables contaminated with animal feces,both,Risk factors,normal
22,p_63,Consumption of raw or undercooked meat,Consuming raw or undercooked meats,both,Risk factors,normal
23,p_139,Contact lenses,Contact lenses,both,Risk factors,normal
24,p_82,Contact with allergen,Contact with allergen,both,Risk factors,normal
25,p_122,Contact with animals,Contact with animals,both,Risk factors,normal
26,p_100,"Contact with animals, cat",Contact with cats,both,Risk factors,normal
27,p_36,Contact with herbicides,Contact with weed killers,both,Risk factors,serious
28,p_41,Contact with insecticides,Contact with chemicals meant to kill insects,both,Risk factors,normal
29,p_99,"Contact with sick person, chickenpox",Contact with chickenpox,both,Risk factors,normal
30,p_188,Dental trauma,Tooth injury,both,Risk factors,normal
31,p_93,Diagnosed Crohn's disease,Diagnosed Crohn's disease,both,Risk factors,normal
32,p_182,Diagnosed aortic aneurysm,Diagnosed aortic aneurysm,both,Risk factors,serious
33,p_167,Diagnosed asthma,Diagnosed asthma,both,Risk factors,normal
34,p_164,Diagnosed chronic obstructive pulmonary disease,Diagnosed chronic obstructive pulmonary disease,both,Risk factors,normal
35,p_306,Diagnosed concussion,Diagnosed concussion,both,Risk factors,normal
36,p_8,Diagnosed diabetes,Diagnosed diabetes,both,Risk factors,normal
37,p_370,"Diagnosed diabetes mellitus, type 1",Type 1 diabetes mellitus,both,Risk factors,normal
38,p_371,"Diagnosed diabetes mellitus, type 2",Type 2 diabetes mellitus,both,Risk factors,normal
39,p_378,"Diagnosed diabetes, other type",Diagnosed other type of diabetes,both,Risk factors,normal
40,p_379,"Diagnosed diabetes, unknown type",Unknown type of diagnosed diabetes,both,Risk factors,normal
41,p_202,Diagnosed hemophilia,Diagnosed hemophilia,male,Risk factors,normal
42,p_9,Diagnosed hypertension,Diagnosed hypertension,both,Risk factors,normal
43,p_263,Diagnosed psoriasis,Diagnosed psoriasis,both,Risk factors,normal
