,id,name,common_name,sex_filter,categories,prevalence,acuteness,severity,triage_level,recommended_channel
0,c_926,ACE inhibitor-induced cough,ACE inhibitor-induced cough,both,['Cardiology'],very_rare,acute_potentially_chronic,mild,consultation,audio_teleconsultation
1,c_764,Abdominal aortic aneurysm,Abdominal aortic aneurysm,both,['Surgery'],very_rare,chronic,severe,consultation_24,personal_visit
2,c_885,Abdominal aortic dissection,Abdominal aortic dissection,both,['Surgery'],very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
3,c_969,"Abdominal pain, unspecified",Unspecific abdominal pain,both,['Gastroenterology'],common,acute,mild,self_care,text_teleconsultation
4,c_547,Abducens nerve palsy,Sixth nerve palsy,both,['Ophthalmology'],very_rare,chronic,mild,consultation,personal_visit
5,c_306,Acetaminophen poisoning,Paracetamol poisoning,both,['Toxicology'],very_rare,acute,severe,emergency,personal_visit
6,c_1,Achalasia,Achalasia,both,['Gastroenterology'],very_rare,chronic,moderate,consultation,personal_visit
7,c_803,Achilles tendinitis,Achilles tendinitis,both,['Orthopedics'],very_rare,acute_potentially_chronic,mild,self_care,personal_visit
8,c_806,Achilles tendon rupture,Achilles tendon rupture,both,['Traumatology'],very_rare,acute,moderate,consultation_24,personal_visit
9,c_111,Acne,Acne,both,['Dermatology'],moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
10,c_259,Acquired immunodeficiency syndrome,AIDS,both,['Infectiology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
11,c_163,Acromegaly,Acromegaly,both,['Endocrinology'],very_rare,chronic,mild,consultation,personal_visit
12,c_665,Acute HIV infection,Acute HIV infection,both,['Infectiology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
13,c_996,Acute angle-closure glaucoma,Acute angle-closure glaucoma,both,['Ophthalmology'],very_rare,acute,severe,emergency,personal_visit
14,c_296,Acute anticholinergic syndrome,Acute anticholinergic syndrome,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
15,c_1172,Acute bacterial rhinosinusitis,Acute bacterial sinusitis,both,['Otorhinolaryngology'],rare,acute,moderate,consultation,audio_teleconsultation
16,c_72,Acute bronchitis,Acute bronchitis,both,['Pulmonology'],common,acute,mild,consultation,personal_visit
17,c_187,Acute cholinergic syndrome,Acute cholinergic syndrome,both,['Toxicology'],very_rare,acute,severe,emergency,personal_visit
18,c_184,Acute cystitis,Bladder infection,both,['Urology'],rare,acute,mild,consultation_24,audio_teleconsultation
19,c_1005,Acute heart failure,Acute heart failure,both,['Cardiology'],very_rare,acute_potentially_chronic,severe,emergency,personal_visit
20,c_191,Acute hypnotic toxicity,Acute hypnotic toxicity,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
21,c_697,Acute intestinal ischemia,Acute intestinal ischemia,both,['Surgery'],very_rare,acute,severe,emergency,personal_visit
22,c_662,Acute kidney injury,Acute kidney failure,both,['Nephrology'],very_rare,acute,severe,emergency,personal_visit
23,c_123,Acute laryngitis,Acute laryngitis,both,['Otorhinolaryngology'],moderate,acute_potentially_chronic,moderate,self_care,audio_teleconsultation
24,c_507,Acute liver failure,Acute liver failure,both,['Gastroenterology'],very_rare,acute,severe,emergency,personal_visit
25,c_705,Acute lower gastrointestinal hemorrhage,Acute lower gastrointestinal bleeding,both,['Gastroenterology'],very_rare,acute,severe,emergency,personal_visit
26,c_1097,Acute lower limb ischemia,Acute lower limb ischemia,both,['Surgery'],very_rare,acute,severe,emergency,personal_visit
27,c_70,Acute lymphoblastic leukemia,Acute lymphoid leukemia,both,['Hematology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
28,c_526,Acute mastoiditis,Acute mastoiditis,both,['Otorhinolaryngology'],very_rare,acute,severe,consultation_24,personal_visit
29,c_71,Acute myeloid leukemia,Acute myeloid leukemia,both,['Hematology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
30,c_193,Acute opioid toxicity,Acute opioid toxicity,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
31,c_130,Acute otitis media,Middle ear infection,both,['Otorhinolaryngology'],moderate,acute,moderate,consultation,personal_visit
32,c_73,Acute pancreatitis,Acute pancreatitis,both,['Gastroenterology'],very_rare,acute,severe,emergency,personal_visit
33,c_168,Acute porphyria,Acute porphyria,both,['Genetics'],very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
34,c_331,Acute rheumatic fever,Acute rheumatic fever,both,['Cardiology'],very_rare,acute,moderate,consultation_24,personal_visit
35,c_194,Acute stimulant overdose,Acute stimulant overdose,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
36,c_249,Acute streptococcal tonsillopharyngitis,Acute streptococcal tonsillopharyngitis,both,['Otorhinolaryngology'],moderate,acute,moderate,consultation_24,personal_visit
37,c_1098,Acute stress reaction,Acute reaction to stress,both,['Psychiatry'],rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
38,c_430,Acute thyroiditis,Acute thyroiditis,both,['Endocrinology'],very_rare,acute,moderate,consultation_24,personal_visit
39,c_703,Acute upper gastrointestinal bleeding,Acute upper gastrointestinal bleeding,both,['Gastroenterology'],very_rare,acute,severe,emergency,personal_visit
40,c_1099,Acute upper limb ischemia,Acute upper limb ischemia,both,['Surgery'],very_rare,acute,severe,emergency,personal_visit
41,c_77,Acute urticaria,Short-term hives,both,['Dermatology'],moderate,acute,mild,self_care,video_teleconsultation
