name,common_name,disease_specify1,disease_specify2,disease_specify3,sex_filter,category,seriousness
Abdominal guarding,Abdominal guarding,,,,both,Signs and symptoms,emergency
Abdominal mass,Lump in stomach,,,,both,Signs and symptoms,normal
Abdominal pain,"Abdominal pain, unspecified location", unspecified location,,,both,Signs and symptoms,normal
Abdominal pain,Burning or gnawing stomach pain, burning or gnawing,,,both,Signs and symptoms,normal
Abdominal pain,Central stomach pain, periumbilical,,,both,Signs and symptoms,normal
Abdominal pain,Colic stomach pain, colicky,,,both,Signs and symptoms,normal
Abdominal pain,Cramps before period, premenstrual,,,female,Signs and symptoms,normal
Abdominal pain,Crampy stomach pain, crampy,,,both,Signs and symptoms,normal
Abdominal pain,Left side stomach pain, left side,,,both,Signs and symptoms,normal
Abdominal pain,Localised stomach pain, localised,,,both,Signs and symptoms,normal
Abdominal pain,Lower left side stomach pain, left lower quadrant,,,both,Signs and symptoms,normal
Abdominal pain,Lower right side stomach pain, right lower quadrant,,,both,Signs and symptoms,normal
Abdominal pain,Lower stomach pain, below belly button,,,both,Signs and symptoms,normal
Abdominal pain,Mild stomach pain, mild,,,both,Signs and symptoms,normal
Abdominal pain,Moderate stomach pain, moderate,,,both,Signs and symptoms,normal
Abdominal pain,Painful ovulation, midcycle,,,female,Signs and symptoms,normal
Abdominal pain,Recurrent stomach pain, recurrent,,,both,Signs and symptoms,normal
Abdominal pain,Right side stomach pain, right side,,,both,Signs and symptoms,normal
Abdominal pain,Severe stomach pain, severe,,,both,Signs and symptoms,normal
Abdominal pain,Sharp and stabbing stomach pain, sharp and stabbing,,,both,Signs and symptoms,normal
Abdominal pain,Slow and gradual stomach pain, gradual onset,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain,,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain after eating, postprandial,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain improves after bowel movement or passing gas, reduced by defecation or relieving flatulence,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain lasting 2 to 7 days, lasting 2 to 7 days,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain lasting 8 to 14 days, lasting 8 to 14 days,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain lasting less than 2 days, lasting less than 2 days,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain lasting more than 2 weeks, lasting more than 2 weeks,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain not worsening, no exacerbation factor,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain of unspecific character, unknown character,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain on empty stomach, exacerbating on an empty stomach,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain spreading to the left shoulder area, radiating to left shoulder or shoulder blade,,,both,Signs and symptoms,emergency
Abdominal pain,Stomach pain spreading to the lower or middle back, radiating to lower or middle part of the back,,,both,Signs and symptoms,serious
Abdominal pain,Stomach pain spreading to the right shoulder area, radiating to right shoulder or shoulder blade,,,both,Signs and symptoms,emergency
Abdominal pain,Stomach pain worsening after caffeine consumption, exacerbating after caffeine consumption,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain worsens when coughing or moving, exacerbating during coughing or movement,,,both,Signs and symptoms,normal
Abdominal pain,Stomach pain worsens with deep breath, exacerbating during deep breath,,,both,Signs and symptoms,normal
Abdominal pain,"Stomach pain, moved to the lower right side", migrating to the right lower quadrant,,,both,Signs and symptoms,emergency
Abdominal pain,Sudden stomach pain, sudden onset,,,both,Signs and symptoms,normal
Abdominal pain,Unbearable stomach pain, unbearable,,,both,Signs and symptoms,emergency
Abdominal pain,Unknown onset of stomach pain, unknown onset,,,both,Signs and symptoms,normal
Abdominal pain,Upper central stomach pain, epigastric,,,both,Signs and symptoms,normal
Abdominal pain,Upper left side stomach pain, left upper quadrant,,,both,Signs and symptoms,normal
Abdominal pain,Upper right side stomach pain, right upper quadrant,,,both,Signs and symptoms,normal
Abdominal pain,Widespread stomach pain, diffuse,,,both,Signs and symptoms,normal
Abdominal tenderness,Pain when pressing lower left part of the stomach, left lower quadrant,,,both,Signs and symptoms,normal
Abdominal tenderness,Pain when pressing lower part of the stomach, hypogastric region,,,both,Signs and symptoms,normal
Abdominal tenderness,Pain when pressing lower right part of the stomach, right lower quadrant,,,both,Signs and symptoms,normal
Abdominal tenderness,Pain when pressing the stomach,,,,both,Signs and symptoms,normal
Abdominal tenderness,Pain when pressing upper left part of the stomach, left upper quadrant,,,both,Signs and symptoms,normal
Abdominal tenderness,Pain when pressing upper middle part of the stomach, epigastric region,,,both,Signs and symptoms,normal
Abdominal tenderness,Pain when pressing upper right part of the stomach, right upper quadrant,,,both,Signs and symptoms,normal
Abnormal vaginal discharge,Abnormal vaginal discharge,,,,female,Signs and symptoms,normal
Abnormal wound drainage,Abnormal wound drainage,,,,both,Signs and symptoms,normal
Abscess,"Reddened, swollen and painful skin change",,,,both,Signs and symptoms,normal
Absence of deep reflexes,Absence of deep reflexes,,,,both,Signs and symptoms,normal
Achilles tendon hyperreflexia,Achilles tendon hyperreflexia,,,,both,Signs and symptoms,normal
Acid reflux,Acidic taste in mouth,,,,both,Signs and symptoms,normal
Activity related to sex despite negative consequences,Activity related to sex despite negative consequences,,,,both,Signs and symptoms,normal
Adenoid face,Adenoid face,,,,both,Signs and symptoms,normal
Agitation,Agitation,,,,both,Signs and symptoms,normal
Agnosia,"Inability to recognize objects, people, sounds, shapes, or smells",,,,both,Signs and symptoms,serious
Agoraphobia,"Fear of places and situations that might cause panic, helplessness or embarrassment",,,,both,Signs and symptoms,normal
Agraphia,Loss of writing ability,,,,both,Signs and symptoms,normal
Alcohol craving,Constant urge to drink alcohol,,,,both,Signs and symptoms,normal
Alcohol tolerance,Need of higher alcohol quantities to get drunk,,,,both,Signs and symptoms,normal
Alcohol withdrawal syndrome,Symptoms following  a reduction in alcohol use,,,,both,Signs and symptoms,normal
Allen-Cleckley sign,Allen-Cleckley sign,,,,both,Signs and symptoms,normal
Alogia,Poverty of speech,,,,both,Signs and symptoms,normal
Amenorrhea,Absence of first menstrual period at age 16, primary,,,female,Signs and symptoms,normal
Amenorrhea,Absence of menstrual period for 1 year or more, secondary, 12 months or more,,female,Signs and symptoms,normal
Amenorrhea,Absence of menstrual period for more than 3 months, secondary,,,female,Signs and symptoms,normal
Amusia,Inability to produce or recognize musical sounds,,,,both,Signs and symptoms,normal
Angular cheilitis,Cracked corners of lips,,,,both,Signs and symptoms,normal
Anhedonia,Inability to enjoy life,,,,both,Signs and symptoms,normal
Anhidrosis,Lack of sweating,,,,both,Signs and symptoms,normal
Anhidrosis,Lack of sweating on one side of the face, face, unilateral,,both,Signs and symptoms,normal
Anicteric presentation,Anicteric presentation,,,,both,Signs and symptoms,normal
Anisocoria,Asymmetric pupils,,,,both,Signs and symptoms,emergency
Annular skin lesions,Ring-shaped skin changes,,,,both,Signs and symptoms,normal
Anorectal pain,Anorectal pain,,,,both,Signs and symptoms,normal
Anxiety,Anxiety,,,,both,Signs and symptoms,normal
Anxiety attack,Anxiety attack,,,,both,Signs and symptoms,normal
Apathy,"Lack of interest, enthusiasm, or concern",,,,both,Signs and symptoms,normal
Aphonia,Loss of voice,,,,both,Signs and symptoms,serious
Appetite for salty foods,Appetite for salty foods,,,,both,Signs and symptoms,normal
Apraxia,Apraxia,,,,both,Signs and symptoms,emergency
Ascites,Ascites,,,,both,Signs and symptoms,serious
Ataxia,Coordination problems for more than 1 year, chronic,,,both,Signs and symptoms,normal
Ataxia,"Coordination problems since several days, weeks, or months ago", subacute,,,both,Signs and symptoms,serious
Ataxia,Problems with coordinating movement,,,,both,Signs and symptoms,normal
Ataxia,Recent coordination problems, acute,,,both,Signs and symptoms,emergency_ambulance
Audible wheezing,Whistling sound made while breathing,,,,both,Signs and symptoms,serious
Auditory verbal agnosia,Auditory verbal agnosia,,,,both,Signs and symptoms,emergency
Auscultative fine crackles over the thorax,Auscultative fine crackles over the thorax,,,,both,Signs and symptoms,normal
Auscultative rhonchi over the thorax,Auscultative rhonchi over the thorax,,,,both,Signs and symptoms,normal
Auscultative wheezes over the thorax,Auscultative wheezes over the thorax,,,,both,Signs and symptoms,normal
