name,common_name,sex_filter,categories,prevalence,acuteness,severity,triage_level,recommended_channel
ACE inhibitor-induced cough,ACE inhibitor-induced cough,both,Cardiology,very_rare,acute_potentially_chronic,mild,consultation,audio_teleconsultation
Abdominal aortic aneurysm,Abdominal aortic aneurysm,both,Surgery,very_rare,chronic,severe,consultation_24,personal_visit
Abdominal aortic dissection,Abdominal aortic dissection,both,Surgery,very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
"Abdominal pain, unspecified",Unspecific abdominal pain,both,Gastroenterology,common,acute,mild,self_care,text_teleconsultation
Abducens nerve palsy,Sixth nerve palsy,both,Ophthalmology,very_rare,chronic,mild,consultation,personal_visit
Acetaminophen poisoning,Paracetamol poisoning,both,Toxicology,very_rare,acute,severe,emergency,personal_visit
Achalasia,Achalasia,both,Gastroenterology,very_rare,chronic,moderate,consultation,personal_visit
Achilles tendinitis,Achilles tendinitis,both,Orthopedics,very_rare,acute_potentially_chronic,mild,self_care,personal_visit
Achilles tendon rupture,Achilles tendon rupture,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Acne,Acne,both,Dermatology,moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
Acquired immunodeficiency syndrome,AIDS,both,Infectiology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Acromegaly,Acromegaly,both,Endocrinology,very_rare,chronic,mild,consultation,personal_visit
Acute HIV infection,Acute HIV infection,both,Infectiology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Acute angle-closure glaucoma,Acute angle-closure glaucoma,both,Ophthalmology,very_rare,acute,severe,emergency,personal_visit
Acute anticholinergic syndrome,Acute anticholinergic syndrome,both,Toxicology,very_rare,acute,severe,emergency_ambulance,personal_visit
Acute bacterial rhinosinusitis,Acute bacterial sinusitis,both,Otorhinolaryngology,rare,acute,moderate,consultation,audio_teleconsultation
Acute bronchitis,Acute bronchitis,both,Pulmonology,common,acute,mild,consultation,personal_visit
Acute cholinergic syndrome,Acute cholinergic syndrome,both,Toxicology,very_rare,acute,severe,emergency,personal_visit
Acute cystitis,Bladder infection,both,Urology,rare,acute,mild,consultation_24,audio_teleconsultation
Acute heart failure,Acute heart failure,both,Cardiology,very_rare,acute_potentially_chronic,severe,emergency,personal_visit
Acute hypnotic toxicity,Acute hypnotic toxicity,both,Toxicology,very_rare,acute,severe,emergency_ambulance,personal_visit
Acute intestinal ischemia,Acute intestinal ischemia,both,Surgery,very_rare,acute,severe,emergency,personal_visit
Acute kidney injury,Acute kidney failure,both,Nephrology,very_rare,acute,severe,emergency,personal_visit
Acute laryngitis,Acute laryngitis,both,Otorhinolaryngology,moderate,acute_potentially_chronic,moderate,self_care,audio_teleconsultation
Acute liver failure,Acute liver failure,both,Gastroenterology,very_rare,acute,severe,emergency,personal_visit
Acute lower gastrointestinal hemorrhage,Acute lower gastrointestinal bleeding,both,Gastroenterology,very_rare,acute,severe,emergency,personal_visit
Acute lower limb ischemia,Acute lower limb ischemia,both,Surgery,very_rare,acute,severe,emergency,personal_visit
Acute lymphoblastic leukemia,Acute lymphoid leukemia,both,Hematology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Acute mastoiditis,Acute mastoiditis,both,Otorhinolaryngology,very_rare,acute,severe,consultation_24,personal_visit
Acute myeloid leukemia,Acute myeloid leukemia,both,Hematology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Acute opioid toxicity,Acute opioid toxicity,both,Toxicology,very_rare,acute,severe,emergency_ambulance,personal_visit
