id,name,common_name,sex_filter,categories,prevalence,acuteness,severity,triage_level,recommended_channel
c_926,ACE inhibitor-induced cough,ACE inhibitor-induced cough,both,['Cardiology'],very_rare,acute_potentially_chronic,mild,consultation,audio_teleconsultation
c_764,Abdominal aortic aneurysm,Abdominal aortic aneurysm,both,['Surgery'],very_rare,chronic,severe,consultation_24,personal_visit
c_885,Abdominal aortic dissection,Abdominal aortic dissection,both,['Surgery'],very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
c_969,"Abdominal pain, unspecified",Unspecific abdominal pain,both,['Gastroenterology'],common,acute,mild,self_care,text_teleconsultation
c_547,Abducens nerve palsy,Sixth nerve palsy,both,['Ophthalmology'],very_rare,chronic,mild,consultation,personal_visit
c_306,Acetaminophen poisoning,Paracetamol poisoning,both,['Toxicology'],very_rare,acute,severe,emergency,personal_visit
c_1,Achalasia,Achalasia,both,['Gastroenterology'],very_rare,chronic,moderate,consultation,personal_visit
c_803,Achilles tendinitis,Achilles tendinitis,both,['Orthopedics'],very_rare,acute_potentially_chronic,mild,self_care,personal_visit
c_806,Achilles tendon rupture,Achilles tendon rupture,both,['Traumatology'],very_rare,acute,moderate,consultation_24,personal_visit
c_111,Acne,Acne,both,['Dermatology'],moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
c_259,Acquired immunodeficiency syndrome,AIDS,both,['Infectiology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
c_163,Acromegaly,Acromegaly,both,['Endocrinology'],very_rare,chronic,mild,consultation,personal_visit
c_665,Acute HIV infection,Acute HIV infection,both,['Infectiology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
c_996,Acute angle-closure glaucoma,Acute angle-closure glaucoma,both,['Ophthalmology'],very_rare,acute,severe,emergency,personal_visit
c_296,Acute anticholinergic syndrome,Acute anticholinergic syndrome,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_1172,Acute bacterial rhinosinusitis,Acute bacterial sinusitis,both,['Otorhinolaryngology'],rare,acute,moderate,consultation,audio_teleconsultation
c_72,Acute bronchitis,Acute bronchitis,both,['Pulmonology'],common,acute,mild,consultation,personal_visit
c_187,Acute cholinergic syndrome,Acute cholinergic syndrome,both,['Toxicology'],very_rare,acute,severe,emergency,personal_visit
c_184,Acute cystitis,Bladder infection,both,['Urology'],rare,acute,mild,consultation_24,audio_teleconsultation
c_1005,Acute heart failure,Acute heart failure,both,['Cardiology'],very_rare,acute_potentially_chronic,severe,emergency,personal_visit
c_191,Acute hypnotic toxicity,Acute hypnotic toxicity,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_697,Acute intestinal ischemia,Acute intestinal ischemia,both,['Surgery'],very_rare,acute,severe,emergency,personal_visit
c_662,Acute kidney injury,Acute kidney failure,both,['Nephrology'],very_rare,acute,severe,emergency,personal_visit
c_123,Acute laryngitis,Acute laryngitis,both,['Otorhinolaryngology'],moderate,acute_potentially_chronic,moderate,self_care,audio_teleconsultation
c_507,Acute liver failure,Acute liver failure,both,['Gastroenterology'],very_rare,acute,severe,emergency,personal_visit
c_705,Acute lower gastrointestinal hemorrhage,Acute lower gastrointestinal bleeding,both,['Gastroenterology'],very_rare,acute,severe,emergency,personal_visit
c_1097,Acute lower limb ischemia,Acute lower limb ischemia,both,['Surgery'],very_rare,acute,severe,emergency,personal_visit
c_70,Acute lymphoblastic leukemia,Acute lymphoid leukemia,both,['Hematology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
c_526,Acute mastoiditis,Acute mastoiditis,both,['Otorhinolaryngology'],very_rare,acute,severe,consultation_24,personal_visit
c_71,Acute myeloid leukemia,Acute myeloid leukemia,both,['Hematology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
c_193,Acute opioid toxicity,Acute opioid toxicity,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_130,Acute otitis media,Middle ear infection,both,['Otorhinolaryngology'],moderate,acute,moderate,consultation,personal_visit
c_73,Acute pancreatitis,Acute pancreatitis,both,['Gastroenterology'],very_rare,acute,severe,emergency,personal_visit
c_168,Acute porphyria,Acute porphyria,both,['Genetics'],very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
c_331,Acute rheumatic fever,Acute rheumatic fever,both,['Cardiology'],very_rare,acute,moderate,consultation_24,personal_visit
c_194,Acute stimulant overdose,Acute stimulant overdose,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_249,Acute streptococcal tonsillopharyngitis,Acute streptococcal tonsillopharyngitis,both,['Otorhinolaryngology'],moderate,acute,moderate,consultation_24,personal_visit
c_1098,Acute stress reaction,Acute reaction to stress,both,['Psychiatry'],rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
c_430,Acute thyroiditis,Acute thyroiditis,both,['Endocrinology'],very_rare,acute,moderate,consultation_24,personal_visit
c_703,Acute upper gastrointestinal bleeding,Acute upper gastrointestinal bleeding,both,['Gastroenterology'],very_rare,acute,severe,emergency,personal_visit
c_1099,Acute upper limb ischemia,Acute upper limb ischemia,both,['Surgery'],very_rare,acute,severe,emergency,personal_visit
c_77,Acute urticaria,Short-term hives,both,['Dermatology'],moderate,acute,mild,self_care,video_teleconsultation
c_1166,Acute viral rhinosinusitis,Acute viral sinusitis,both,['Otorhinolaryngology'],moderate,acute,moderate,self_care,audio_teleconsultation
c_121,Acute viral tonsillopharyngitis,Acute viral tonsillopharyngitis,both,['Otorhinolaryngology'],common,acute,mild,self_care,video_teleconsultation
c_57,Addison's disease,Addison's disease,both,['Endocrinology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_868,Adenomyosis,Adenomyosis,female,['Gynecology'],very_rare,chronic,mild,consultation,personal_visit
c_947,Adhesive capsulitis of shoulder,Frozen shoulder,both,['Orthopedics'],very_rare,chronic,mild,consultation,personal_visit
c_270,Adjustment disorder,Adjustment disorder,both,['Psychiatry'],very_rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
c_784,Adrenal cancer,Adrenal cancer,both,['Oncology'],very_rare,chronic,severe,consultation,personal_visit
c_1217,Adverse event following immunization,Post-immunization reaction,both,['Infectiology'],very_rare,acute_potentially_chronic,mild,self_care,personal_visit
c_535,African trypanosomiasis,Sleeping sickness,both,['Infectiology'],very_rare,acute,severe,consultation_24,personal_visit
c_366,Agoraphobia,Agoraphobia,both,['Psychiatry'],very_rare,chronic,mild,consultation,audio_teleconsultation
c_667,Alcohol poisoning,Alcohol poisoning,both,['Toxicology'],very_rare,acute,severe,emergency,personal_visit
c_227,Alcohol withdrawal syndrome,Alcohol withdrawal syndrome,both,['Psychiatry'],very_rare,acute,moderate,consultation_24,personal_visit
c_622,Alcoholic cerebellar degeneration,Alcoholic cerebellar degeneration,both,['Toxicology'],very_rare,chronic,mild,consultation,personal_visit
c_6,Alcoholic liver disease,Alcoholic liver disease,both,['Gastroenterology'],very_rare,chronic,moderate,consultation,personal_visit
c_5,Alcoholism,Alcoholism,both,['Psychiatry'],very_rare,chronic,moderate,consultation,video_teleconsultation
c_578,Allergic bronchopulmonary aspergillosis,Allergic bronchopulmonary aspergillosis,both,['Pulmonology'],very_rare,acute_potentially_chronic,severe,consultation,personal_visit
c_3,Allergic conjunctivitis,Allergic conjunctivitis,both,['Allergology'],moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
c_4,Allergic rhinitis,Hay fever,both,['Allergology'],moderate,chronic_with_exacerbations,mild,self_care,text_teleconsultation
c_802,Alopecia,Baldness,both,['Dermatology'],rare,chronic,mild,consultation,personal_visit
c_522,Amebiasis,Amebiasis,both,['Infectiology'],very_rare,acute,moderate,consultation_24,personal_visit
c_243,American trypanosomiasis,Chagas disease,both,['Infectiology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
c_874,Ampullary cancer,Ampullary cancer,both,['Oncology'],very_rare,chronic,severe,consultation,personal_visit
c_291,Amyloidosis,Amyloidosis,both,['Rheumatology'],very_rare,chronic,moderate,consultation,personal_visit
c_396,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,both,['Neurology'],very_rare,chronic,severe,consultation,personal_visit
c_276,Anal cancer,Anal cancer,both,['Oncology'],very_rare,chronic,severe,consultation,personal_visit
c_275,Anal fissure,Anal fissure,both,['Surgery'],rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_866,Anal fistula,Anal fistula,both,['Surgery'],rare,chronic,severe,consultation_24,personal_visit
c_700,Anaphylaxis,Severe allergic reaction,both,['Allergology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_372,Anemia of chronic disease,Anemia of chronic disease,both,['Hematology'],very_rare,chronic,moderate,consultation,audio_teleconsultation
c_715,Angioedema,Angioedema,both,['Allergology'],rare,acute,severe,emergency,personal_visit
c_1049,Ankle contusion,Ankle contusion,both,['Traumatology'],very_rare,acute,mild,self_care,video_teleconsultation
c_1026,Ankle joint dislocation,Dislocated ankle,both,['Traumatology'],very_rare,acute,moderate,consultation,personal_visit
